date/time,open,high,low,close,volume
2024-07-16,12.0000,12.5900,11.7400,12.3100,3763875
2024-06-28,14.2300,14.3500,11.8900,11.9200,6606829
2024-05-31,14.6200,15.4400,13.7900,14.2300,3724290
2024-04-30,15.2500,16.4800,14.1200,14.2200,4282917
2024-03-28,14.7800,15.4300,14.1500,15.2500,4338372
2024-02-29,14.2600,15.8300,13.9100,15.6900,4918019
2024-01-31,12.9600,14.2900,12.5100,14.0940,7014252
2023-12-29,12.7101,13.7500,12.7000,12.9800,7948151
2023-11-30,11.5500,13.3800,11.5000,12.8899,5327272
2023-10-31,13.0800,13.3660,11.1600,11.5000,8514614
2023-09-29,13.7700,14.0901,12.8100,13.1000,8057284
2023-08-31,15.9705,16.0400,14.0900,14.2800,5473670
2023-07-31,16.8300,17.3500,15.9500,15.9900,4200731
2023-06-30,15.2100,17.5300,15.1500,16.7200,4474469
2023-05-31,16.7000,17.1300,14.7600,15.0800,4370202
2023-04-28,17.1000,17.3450,16.2500,16.7180,3452193
2023-03-31,17.8800,19.3000,15.8500,17.1000,5205238
2023-02-28,17.5500,18.4600,17.1100,17.7600,3418870
2023-01-31,16.4200,17.9300,16.2100,17.4600,4603726
2022-12-30,19.3900,19.6500,15.2000,15.6450,7661581
2022-11-30,17.3500,19.9700,16.1600,19.2400,5859408
2022-10-31,16.2400,17.2500,15.3000,17.0900,8442591
2022-09-30,18.1300,20.6900,16.0500,16.2450,16914862
2022-08-31,19.9000,20.5410,17.9100,18.5100,6383774
2022-07-29,17.8700,19.8200,16.8000,19.7600,6721869
2022-06-30,22.8200,23.3400,17.6400,18.2200,7507037
2022-05-31,21.4000,22.5200,19.2300,22.4700,8099608
2022-04-29,25.3500,25.4500,21.3800,21.5800,6114140
2022-03-31,25.3400,26.6000,19.6700,24.6700,13016454
2022-02-28,29.4900,29.8500,25.0500,25.7900,7237236
2022-01-31,29.8893,31.7900,27.2900,28.7400,7774367
2021-12-31,29.5600,31.9900,27.7000,29.2000,10205205
2021-11-30,32.9400,34.6400,27.6000,27.8500,10410592
2021-10-29,31.2400,34.2200,29.3500,32.6100,9632841
2021-09-30,33.7500,35.0000,30.2500,31.1200,8427210
2021-08-31,33.6600,36.7400,32.3600,33.4300,10447474
2021-07-30,33.0000,34.4500,30.9600,33.1897,8273513
2021-06-30,36.2985,38.3500,32.7000,32.8800,8780629
2021-05-28,32.3780,36.6000,30.4550,36.1650,10764281
2021-04-30,36.3700,37.4000,31.6200,31.7100,17858204
2021-03-31,23.3200,48.7200,23.2800,36.3000,66225096
2021-02-26,21.0125,23.8400,20.9340,23.4180,6653299
2021-01-29,20.6650,21.9600,19.8500,21.1300,7085723
2020-12-31,19.3600,21.5000,18.5600,20.8500,4927370
2020-11-30,15.8900,19.9110,15.8900,18.5600,3164588
2020-10-30,17.1550,17.6550,15.4000,15.5700,4002955
2020-09-30,17.6500,19.2994,16.6300,17.7400,3142279
2020-08-31,16.1500,18.2900,16.1000,17.9300,1754932
2020-07-31,15.9900,17.6200,15.5000,15.6200,2083809
2020-06-30,16.0600,18.2000,15.6900,16.1750,2446068
2020-05-29,14.7300,16.8400,13.3300,15.7800,3595644
2020-04-30,12.5300,15.9500,12.2400,14.9400,4308983
2020-03-31,17.1300,17.6300,10.6000,13.1000,8057805
2020-02-28,18.0500,19.0500,15.9500,16.8100,2236556
2020-01-31,19.6680,20.3500,18.2000,18.2800,2857280
2019-12-31,19.1800,20.3000,18.9400,19.2900,1600063
2019-11-29,19.1600,20.1300,19.0000,19.0050,1146057
2019-10-31,17.0400,19.3100,16.2200,18.9400,3110272
2019-09-30,16.2560,17.8800,16.2000,17.1300,1540439
2019-08-30,17.0100,17.1300,15.6700,16.2500,1981114
2019-07-31,17.2500,18.0025,16.7900,16.9700,2536558
2019-06-28,15.8300,17.1500,15.8300,17.1000,1681606
2019-05-31,17.7900,18.5850,15.6600,15.7800,2038869
2019-04-30,16.5800,18.8400,16.5401,17.8750,2555126
2019-03-29,17.8600,17.9800,15.9600,16.2400,2925057
2019-02-28,17.3800,17.7222,16.1400,17.6100,1769220
2019-01-31,15.3150,17.5900,15.2950,17.3700,2451423
2018-12-31,16.9800,17.0300,15.3718,15.6000,4172286
2018-11-30,16.7500,17.4650,15.8600,16.5850,2258842
2018-10-31,17.4300,17.6300,14.7000,16.4300,3302691
2018-09-28,15.4500,17.9500,15.3000,17.2900,2177487
